ID,nom,departement,ville,CP,type
0782073E,Section d'enseignement professionnel du lycée polyvalent Sonia Delaunay,78,Villepreux,78450,secondaire
0782074F,Section d'enseignement professionnel du lycée polyvalent Jean-Baptiste Poquelin,78,Saint-Germain-en-Laye,78101,secondaire
0782078K,Section d'enseignement professionnel du lycée polyvalent Vaucansson,78,Les-Mureaux,78130,secondaire
0782080M,Centre de rencontres enfantines Montessori,78,Maurepas,78310,primaire
0782081N,Ecole élémentaire privé  International  Malherbe,78,Le-Vésinet,78110,primaire
0782083R,Ecole élémentaire privée Saint Dominique,78,Le-Pecq,78230,primaire
0782087V,Collège privé Saint-Exupéry,78,Montigny-le-Bretonneux,78180,secondaire
0782088W,Ecole élémentaire privée,78,Montigny-le-Bretonneux,78180,primaire
0782095D,Ecole maternelle Saint-Exupéry,78,Guyancourt,78280,primaire
0782096E,Ecole maternelle Les Tulipes,78,Mantes-la-Jolie,78200,primaire
0782097F,Ecole maternelle Henri Wallon,78,Limay,78520,primaire
0782098G,Ecole maternelle Françoise Dolto,78,Verneuil-sur-Seine,78480,primaire
0782099H,Ecole élémentaire Mermoz,78,Guyancourt,78280,primaire
0782100J,Lycée professionnel privé Les Châtaigniers,78,Versailles,78000,secondaire
0782101K,Ecole élémentaire Jean Moulin,78,Montesson,78360,primaire
0782102L,Ecole élémentaire Henri Wallon,78,Limay,78520,primaire
0782103M,Ecole élémentaire Malmedonne,78,Maurepas,78310,primaire
0782114Z,Collège de La Clef Saint Pierre,78,Élancourt,78990,secondaire
0782115A,Collège Galilée,78,Limay,78520,secondaire
0782119E,Section d'enseignement professionnel du lycée polyvalent Jean Rostand,78,Mantes-la-Jolie,78200,secondaire
0782121G,Ecole maternelle Marcel Pagnol,78,Sartrouville,78500,primaire
0782122H,Ecole maternelle Willy Brandt,78,Élancourt,78990,primaire
0782123J,Ecole élémentaire Mermoz,78,Mantes-la-Jolie,78200,primaire
0782124K,Ecole élémentaire Willy Brandt,78,Élancourt,78990,primaire
0782127N,Section d'enseignement professionnel du lycée polyvalent Jean Monnet,78,Richebourg,78550,secondaire
0782128P,Ecole générale et technologique privée du Prieuré,78,Saint-Germain-en-Laye,78100,secondaire
0782131T,Ecole 2D degré général privée Saint Dominique,78,Le-Pecq,78230,secondaire
0782132U,Lycée général et technologique Jeanne d'Albret,78,Saint-Germain-en-Laye,78101,secondaire
0782174P,Ecole maternelle Langevin-Wallon,78,Freneuse,78840,primaire
0782175R,Ecole maternelle Jean Jaurès,78,Sartrouville,78500,primaire
0782177T,Ecole maternelle La Roseraie,78,Bois-d'Arcy,78390,primaire
0782180W,Ecole maternelle Richard Mique,78,Versailles,78000,primaire
0782184A,Ecole maternelle Les Jonquilles,78,Mantes-la-Jolie,78200,primaire
0782185B,Ecole maternelle publique Bonnenfant,78,Saint-Germain-en-Laye,78100,primaire
0782186C,Ecole maternelle Ampère,78,Saint-Germain-en-Laye,78100,primaire
0782187D,Ecole maternelle Les Merisiers,78,Mantes-la-Ville,78711,primaire
0782219N,Ecole maternelle du Clos Lainé,78,Maisons-Laffitte,78600,primaire
0782221R,Ecole maternelle Les Peupliers,78,Le-Mesnil-le-Roi,78600,primaire
0782222S,Ecole maternelle Jean Jaurès,78,Le-Mesnil-le-Roi,78600,primaire
0782223T,Ecole maternelle Paul Bert 1,78,Sartrouville,78500,primaire
0782224U,Ecole maternelle Danielle Casanova,78,Sartrouville,78500,primaire
0782225V,Ecole maternelle Joliot-Curie,78,Sartrouville,78500,primaire
0782226W,Ecole maternelle Paul Langevin,78,Sartrouville,78500,primaire
0782227X,Ecole maternelle,78,Bonnières-sur-Seine,78270,primaire
0782228Y,Ecole maternelle Paul Eluard,78,Freneuse,78840,primaire
0782229Z,Ecole maternelle Ferdinand Buisson,78,Limay,78520,primaire
0782230A,Ecole maternelle Arc en Ciel,78,Gargenville,78440,primaire
0782231B,Ecole maternelle Jean de La Fontaine,78,Gargenville,78440,primaire
0782232C,Ecole maternelle Les Myosotis,78,Mantes-la-Jolie,78200,primaire
0782233D,Ecole maternelle Les Capucines,78,Mantes-la-Jolie,78200,primaire
0782234E,Ecole maternelle Les Roses,78,Mantes-la-Jolie,78200,primaire
0782235F,Ecole maternelle Les Pensées,78,Mantes-la-Jolie,78200,primaire
0782237H,Ecole maternelle Les Lavandes,78,Épône,78680,primaire
0782238J,Ecole maternelle Les Brouets,78,Mantes-la-Ville,78711,primaire
0782239K,Ecole maternelle Armand Gaillard,78,Mantes-la-Ville,78711,primaire
0782240L,Ecole maternelle Les Alliers de Chavannes,78,Mantes-la-Ville,78711,primaire
0782242N,Ecole maternelle Schnapper,78,Saint-Germain-en-Laye,78100,primaire
0782244R,Ecole maternelle Ernest Bousson,78,Chatou,78400,primaire
0782245S,Ecole maternelle Les Cormiers,78,Chatou,78400,primaire
0782246T,Ecole maternelle Les Marolles,78,Chatou,78400,primaire
0782247U,Ecole maternelle Les Sabinettes,78,Chatou,78400,primaire
0782248V,Ecole maternelle Groupe Jean Moulin,78,Croissy-sur-Seine,78290,primaire
0782249W,Ecole maternelle Ferdinand Buisson,78,Montesson,78360,primaire
0782251Y,Ecole maternelle Jehan Alain,78,Le-Pecq,78230,primaire
